YearMonth,Revenue,Orders,Customers,Revenue_millions,trend_fitted,is_peak_month
2009-12,680764.2,1502,952,0.6807641999999999,0.6039042227076921,False
2010-01,534359.4,963,702,0.5343594,0.6116768986153843,False
2010-02,499536.2,1093,771,0.4995362,0.6194495745230767,False
2010-03,668309.8,1509,1051,0.6683098000000001,0.627222250430769,False
2010-04,587563.2,1316,939,0.5875632,0.6349949263384613,False
2010-05,594782.3,1365,965,0.5947823000000001,0.6427676022461536,False
2010-06,631284.1,1479,1034,0.6312841,0.650540278153846,False
2010-07,583247.9,1362,924,0.5832479,0.6583129540615382,False
2010-08,596553.25,1276,910,0.59655325,0.6660856299692306,False
2010-09,808048.6,1659,1136,0.8080486,0.6738583058769229,True
2010-10,1014880.94,2108,1492,1.0148809399999998,0.6816309817846151,True
2010-11,1161648.6,2570,1606,1.1616486000000001,0.6894036576923075,True
2010-12,876830.7,1394,884,0.8768307,0.6971763335999998,False
2011-01,563846.9,983,739,0.5638469,0.7049490095076921,False
2011-02,443283.06,992,757,0.44328306,0.7127216854153844,False
2011-03,584541.4,1312,973,0.5845414,0.7204943613230768,False
2011-04,455113.25,1139,853,0.45511325,0.728267037230769,False
2011-05,660302.6,1544,1054,0.6603026,0.7360397131384613,False
2011-06,654105.44,1390,990,0.6541054399999999,0.7438123890461537,False
2011-07,592479.4,1321,946,0.5924794,0.751585064953846,False
2011-08,636693.5,1267,933,0.6366935,0.7593577408615383,False
2011-09,940723.3,1739,1259,0.9407233,0.7671304167692305,True
2011-10,1005414.1,1903,1361,1.0054140999999999,0.7749030926769229,True
2011-11,1141897.0,2642,1660,1.141897,0.7826757685846152,True
2011-12,513199.2,776,614,0.5131992,0.7904484444923076,False
