CustomerID,LastPurchase,FirstPurchase,NumTransactions,TotalSpend,TotalItems,UniqueProducts,UniqueCategories,PrimaryCountry,Recency,CustomerLifespan,AOV,PurchaseFreqPerMonth,IsUK,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment,behavioral_entropy,p_alive,predicted_clv_12m,mu,alpha,beta
12346,2011-01-18 10:01:00,2009-12-14 08:34:00,12,77556.45,74285,27,3,United Kingdom,325,400,6463.037760416667,0.8999999999999999,1,2,5,5,12,At Risk,0.0032724709402269,0.8650706649143839,35934.68945634683,0.020113860176455146,11.039444032323015,30.717553982068907
12347,2011-12-07 15:52:00,2010-10-31 14:20:00,8,5633.32,3286,126,10,Iceland,1,402,704.1649780273438,0.5970149253731343,0,5,4,5,14,Champions,0.8293444722807721,0.9001417124766334,2985.0169447683193,0.019897339215929837,5.494810668341962e-14,0.2516140672169518
12348,2011-09-25 13:13:00,2010-09-27 14:59:00,5,1658.4,2704,24,6,Finland,74,362,331.6800048828125,0.4143646408839779,0,3,4,4,11,Potential Loyal,0.6319287753770887,0.9053696760968512,1520.6628568698418,0.01377690105029531,2.324087666752486e-13,39.46453726907609
12349,2011-11-21 09:51:00,2010-04-29 13:20:00,3,3678.69,1621,137,9,Italy,18,570,1226.22998046875,0.1578947368421052,0,5,3,5,13,Champions,0.6256861341744414,,,0.005255272809139906,6.057593943867407e-14,0.3746899089899576
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,196,16,5,Norway,309,0,294.3999938964844,1.0,0,2,1,2,5,Lost,0.6263551806418188,,,,,
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,21,5,Unspecified,374,0,300.92999267578125,1.0,0,2,1,2,5,Lost,0.5096591538751629,,,,,
12352,2011-11-03 14:37:00,2010-11-12 10:20:00,9,1729.54,714,68,6,Norway,35,356,192.17111545138889,0.7584269662921348,0,4,5,4,13,Champions,0.6411732118833675,0.8615416151175026,1298.2381386645618,0.024776573899576042,0.001401578301419439,0.06267954231029482
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,406.76,212,23,5,Bahrain,203,204,203.3800048828125,0.2941176470588235,0,2,2,2,6,Lost,0.5275793480401487,,,,,
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,7,Spain,231,0,1079.4000244140625,1.0,0,2,1,3,6,Lost,0.629893414666519,,,,,
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,947.61,543,35,6,Bahrain,213,353,473.8049926757813,0.1699716713881019,0,2,2,3,7,Lost,0.5715882785690798,,,,,
12356,2011-11-17 08:40:00,2010-10-11 09:42:00,6,5613.68,3377,103,8,Portugal,22,401,935.6133626302084,0.4488778054862842,0,4,4,5,13,Champions,0.5240072462849482,0.9147407872255016,4848.833509293802,0.014926834944174568,1.0378675433686278e-09,6.62613408999737
12357,2011-11-06 16:07:00,2010-11-16 10:05:00,2,17437.66,6586,260,10,Switzerland,32,355,8718.830078125,0.1690140845070422,0,4,2,5,11,Loyal,0.7521537519649664,,,,,
12358,2011-12-08 10:26:00,2009-12-08 07:59:00,5,3447.0698,1068,55,7,Austria,1,730,689.41396484375,0.2054794520547945,0,5,4,5,14,Champions,0.4598343489573653,0.8119845535521729,756.0083533223439,0.006848337641269,8.415039093906749e-11,8.42378543417928
12359,2011-10-13 12:47:00,2009-12-05 13:32:00,10,8935.939,2752,305,9,Cyprus,57,676,893.5939453125,0.4437869822485207,0,4,5,5,14,Champions,0.7469388344516696,0.9019391161251837,2245.5378635909433,0.014771737724915503,4.782555123879302e-13,8.44549238726762
12360,2011-10-18 15:22:00,2010-02-22 09:32:00,6,3612.8901,2443,159,8,Austria,51,603,602.1483561197916,0.2985074626865671,0,4,4,5,13,Champions,0.7763816053431808,0.9527574487993202,1581.4072918708189,0.009946255728935432,6.394369883969972e-13,1.267564203269186
12361,2011-02-25 13:51:00,2010-01-26 14:37:00,4,451.25,231,17,3,Belgium,286,394,112.8125,0.3045685279187817,0,2,3,2,7,At Risk,0.3819091969980196,0.9052250978307902,489.0345422730204,0.01012739565477527,3.645755921124418e-12,1.3817804705602383
12362,2011-12-06 15:40:00,2011-02-17 10:30:00,10,4737.23,2197,200,10,Belgium,2,292,473.722998046875,1.0273972602739727,0,5,5,5,15,Champions,0.7799518354203565,,,0.02471801493141968,0.0033565294020288282,0.0033565294388217563
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,2,552.0,408,23,6,Unspecified,109,132,276.0,0.4545454545454545,0,3,2,2,7,Potential Loyal,0.6417745092083742,,,,,
12364,2011-12-02 10:22:00,2011-08-19 15:24:00,4,1208.1,1499,69,7,Belgium,7,104,302.0249938964844,1.1538461538461535,0,5,3,3,11,Loyal,0.6722765277144377,,,0.03817147989220341,5.827020358706892e-13,1.4586688323989256
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,320.69,173,21,5,Cyprus,290,0,320.69000244140625,1.0,0,2,1,2,5,Lost,0.5356489909093493,,,,,
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24002,296,3,3,Cyprus,633,0,500.2400207519531,1.0,0,1,1,2,4,Lost,0.4768067650093767,,,,,
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,150.90001,172,10,4,Denmark,3,0,150.90000915527344,1.0,0,5,1,1,7,Loyal,0.4042577604855154,,,,,
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.7,330,18,5,Cyprus,627,0,917.7000122070312,1.0,0,1,1,3,5,Lost,0.5897806592511319,,,,,
12369,2010-10-22 13:13:00,2010-03-08 08:09:00,3,1511.15,1234,89,9,Austria,412,228,503.7166748046875,0.3947368421052631,0,1,3,4,8,At Risk,0.8112568815664521,0.6948614189884613,797.9844791513561,0.013145723460057138,1.4537812289363997e-15,8.290688366152558
12370,2011-10-19 14:51:00,2010-02-09 09:41:00,7,3960.31,2596,167,9,Cyprus,50,617,565.7585797991071,0.3403565640194489,0,4,4,5,13,Champions,0.6209712063116933,0.9226671323043177,1860.3944092798151,0.009739310855834815,2.326467076780621,14.117647877390532
12371,2011-10-11 10:43:00,2010-03-04 18:23:00,4,3347.38,1418,133,9,Switzerland,59,585,836.844970703125,0.2051282051282051,0,3,3,5,11,Potential Loyal,0.6824359446568506,,,0.0051223451922729904,239.98607338442952,720.0000020881494
12372,2011-09-29 12:12:00,2011-02-16 12:46:00,3,1196.04,788,33,5,Denmark,71,224,398.6800130208333,0.4017857142857143,0,3,3,3,9,Potential Loyal,0.5494911433343241,,,0.01333474122761659,1.363940974687014e-12,4.271896233839048
12373,2011-02-01 13:10:00,2010-02-04 12:08:00,3,927.65,511,35,4,Austria,310,362,309.2166748046875,0.2486187845303867,0,2,3,3,8,At Risk,0.4143025664363927,0.8651705105852093,601.8367426140181,0.00828630426592741,9.934154522247816e-14,0.689717093800188
12374,2011-11-14 15:37:00,2010-04-30 14:01:00,3,2669.22,1354,78,7,Austria,24,563,889.739990234375,0.1598579040852575,0,4,3,4,11,Loyal,0.605799571630189,,,0.005327962745612611,4.254008420947682e-12,0.43689476056416476
12375,2011-11-29 10:36:00,2011-09-02 14:23:00,2,377.5,176,13,2,Finland,10,87,188.75,0.6896551724137931,0,5,2,2,9,Loyal,0.1323017760673159,,,,,
12376,2010-11-15 12:15:00,2010-10-18 08:42:00,2,383.15,237,10,4,Switzerland,389,28,191.5749969482422,2.0,0,2,2,2,6,Lost,0.4224932129253638,,,,,
12377,2011-01-28 15:45:00,2010-04-29 15:34:00,4,3266.32,2101,128,10,Switzerland,314,274,816.5800170898438,0.437956204379562,0,2,3,5,10,At Risk,0.7572911203058058,0.8529209401878195,1554.7929659231281,0.014598129505614156,2.2616208826941884e-12,8.948596843149815
12378,2011-08-02 10:34:00,2010-05-26 14:07:00,2,5416.32,3316,281,10,Switzerland,129,432,2708.159912109375,0.1388888888888889,0,3,2,5,10,Potential Loyal,0.7167224815655612,,,,,
12379,2011-09-19 10:09:00,2010-06-23 12:49:00,4,1470.22,805,57,7,Belgium,81,452,367.5549926757813,0.2654867256637168,0,3,3,4,10,Potential Loyal,0.7505538337438619,,,0.008832196712967817,3.933929698806317e-12,2.4607255925877105
12380,2011-11-18 11:27:00,2010-02-15 12:05:00,8,7210.65,3314,154,9,Belgium,21,640,901.3312377929688,0.375,0,4,4,5,13,Champions,0.6731475591686009,0.58126296348408,1406.0238866911502,0.010923363431437351,18.67160680767558,130.90909871263602
12381,2011-12-05 12:44:00,2011-08-12 09:57:00,3,1474.81,797,69,8,Norway,4,115,491.6033528645833,0.7826086956521738,0,5,3,4,12,Loyal,0.7383583635896318,,,0.026060679109754396,7.474503019166204e-12,2.6259432910225025
12383,2011-06-08 08:02:00,2010-12-22 14:28:00,5,1628.56,1518,83,7,Belgium,184,167,325.71201171875,0.8982035928143713,0,3,4,4,11,Potential Loyal,0.6375134775845883,0.898585312200751,1768.7291752595518,0.029809452223791014,2.6109059057963525e-12,0.9198213616364319
