CustomerID,Recency,NumTransactions,TotalSpend,AOV,behavioral_entropy,IsUK,churned,duration,high_entropy
12346,325,12,77556.45,6463.037760416667,0.0032724709402269,1,1,325,0
12347,1,8,5633.32,704.1649780273438,0.8293444722807721,0,0,1,1
12348,74,5,1658.4,331.6800048828125,0.6319287753770887,0,0,74,0
12349,18,3,3678.69,1226.22998046875,0.6256861341744414,0,0,18,0
12350,309,1,294.4,294.3999938964844,0.6263551806418188,0,1,309,0
12351,374,1,300.93,300.92999267578125,0.5096591538751629,0,1,374,0
12352,35,9,1729.54,192.17111545138889,0.6411732118833675,0,0,35,0
12353,203,2,406.76,203.3800048828125,0.5275793480401487,0,1,203,0
12354,231,1,1079.4,1079.4000244140625,0.629893414666519,0,1,231,0
12355,213,2,947.61,473.8049926757813,0.5715882785690798,0,1,213,0
12356,22,6,5613.68,935.6133626302084,0.5240072462849482,0,0,22,0
12357,32,2,17437.66,8718.830078125,0.7521537519649664,0,0,32,1
12358,1,5,3447.0698,689.41396484375,0.4598343489573653,0,0,1,0
12359,57,10,8935.939,893.5939453125,0.7469388344516696,0,0,57,1
12360,51,6,3612.8901,602.1483561197916,0.7763816053431808,0,0,51,1
12361,286,4,451.25,112.8125,0.3819091969980196,0,1,286,0
12362,2,10,4737.23,473.722998046875,0.7799518354203565,0,0,2,1
12363,109,2,552.0,276.0,0.6417745092083742,0,1,109,0
12364,7,4,1208.1,302.0249938964844,0.6722765277144377,0,0,7,1
12365,290,1,320.69,320.69000244140625,0.5356489909093493,0,1,290,0
12366,633,1,500.24002,500.2400207519531,0.4768067650093767,0,1,633,0
12367,3,1,150.90001,150.90000915527344,0.4042577604855154,0,0,3,0
12368,627,1,917.7,917.7000122070312,0.5897806592511319,0,1,627,0
12369,412,3,1511.15,503.7166748046875,0.8112568815664521,0,1,412,1
12370,50,7,3960.31,565.7585797991071,0.6209712063116933,0,0,50,0
12371,59,4,3347.38,836.844970703125,0.6824359446568506,0,0,59,1
12372,71,3,1196.04,398.6800130208333,0.5494911433343241,0,0,71,0
12373,310,3,927.65,309.2166748046875,0.4143025664363927,0,1,310,0
12374,24,3,2669.22,889.739990234375,0.605799571630189,0,0,24,0
12375,10,2,377.5,188.75,0.1323017760673159,0,0,10,0
12376,389,2,383.15,191.5749969482422,0.4224932129253638,0,1,389,0
12377,314,4,3266.32,816.5800170898438,0.7572911203058058,0,1,314,1
12378,129,2,5416.32,2708.159912109375,0.7167224815655612,0,1,129,1
12379,81,4,1470.22,367.5549926757813,0.7505538337438619,0,0,81,1
12380,21,8,7210.65,901.3312377929688,0.6731475591686009,0,0,21,1
12381,4,3,1474.81,491.6033528645833,0.7383583635896318,0,0,4,1
12383,184,5,1628.56,325.71201171875,0.6375134775845883,0,1,184,0
12384,28,2,425.27,212.63499450683597,0.6197723944714283,0,0,28,0
12385,378,1,1668.4,1668.4000244140625,0.5121923267356179,0,1,378,0
12386,337,2,660.8,330.3999938964844,0.2799948885406016,0,1,337,0
12387,414,1,143.94,143.94000244140625,0.4758589795084825,0,1,414,0
12388,15,8,3901.1099,487.63873291015625,0.7153654850642586,0,0,15,1
12389,402,3,1433.33,477.7766520182292,0.6136390977905738,0,1,402,0
12390,79,1,504.84,504.8399963378906,0.6343861322760068,0,0,79,0
12391,21,6,2773.42,462.2366536458333,0.8387273553121166,0,0,21,1
12392,590,1,234.75,234.75,0.0744430441594016,0,1,590,0
12393,71,6,2399.45,399.9083251953125,0.5146045930369141,0,0,71,0
12394,63,2,1080.48,540.239990234375,0.1924587363685432,0,0,63,0
12395,18,15,4551.27,303.4180013020833,0.69398445261605,0,0,18,1
12396,673,1,931.43,931.4299926757812,0.7578249438886578,0,1,673,1
12397,35,2,2214.9,1107.449951171875,0.7023124132551336,0,0,35,1
12398,45,1,1435.66,1435.6600341796875,0.7065181773814637,0,0,45,1
12399,118,7,1842.3,263.1857212611607,0.7007206316496102,0,1,118,1
12400,413,1,205.25,205.25,0.5467872423311761,0,1,413,0
12401,302,1,69.299995,69.29999542236328,0.2652949955741215,0,1,302,0
12402,322,6,1136.9,189.48333740234372,0.5070694674185031,0,1,322,0
12403,49,2,947.36,473.6799926757813,0.0198422152618799,0,0,49,0
12405,148,1,1390.39,1390.3900146484375,0.5284584815098758,0,1,148,0
12406,21,5,6390.36,1278.07197265625,0.6613038540894793,0,0,21,1
12407,49,5,1507.12,301.4239990234375,0.4551487074910794,0,0,49,0
12408,32,8,3905.77,488.2212524414063,0.6934941501781271,0,0,32,1
12409,78,7,23419.29,3345.612723214286,0.8442439449724075,0,0,78,1
12410,308,3,773.71,257.90334065755206,0.6275732662014463,0,1,308,0
12411,409,1,346.9,346.8999938964844,0.6083428183913164,0,1,409,0
12412,74,6,2404.93,400.8216552734375,0.6484418031099212,0,0,74,0
12413,66,4,871.45,217.8625030517578,0.6282288298930953,0,0,66,0
12414,216,4,532.41,133.1024932861328,0.6857339189837522,0,1,216,1
12415,23,24,144003.38,6000.140625,0.7845779164436185,0,0,23,1
12416,656,1,202.56,202.55999755859372,0.3298672408615423,0,1,656,0
12417,2,20,6017.91,300.8955078125,0.7215774917916923,0,0,2,1
12418,112,4,2021.2,505.2999877929688,0.7550689605069322,0,1,112,1
12419,385,2,391.01,195.5050048828125,0.7242673333686828,0,1,385,1
12420,63,1,600.39,600.3900146484375,0.5871338440005952,0,0,63,0
12421,15,6,874.6,145.76666259765625,0.6449816164242611,0,0,15,0
12422,95,12,3639.35,303.2791748046875,0.6074984342846523,0,1,95,0
12423,0,10,2301.39,230.1389892578125,0.7831882188225855,0,0,1,1
12424,162,4,3340.03,835.0075073242188,0.7471259328900904,0,1,162,1
12425,77,2,1741.41,870.7050170898438,0.7811979325871863,0,0,77,1
12426,194,2,1201.21,600.60498046875,0.6062979026476754,0,1,194,0
12427,21,3,949.3,316.43332926432294,0.5325404833474049,0,0,21,0
12428,25,8,6405.26,800.657470703125,0.7438778543972437,0,0,25,1
12429,8,8,6979.91,872.48876953125,0.7823112782086314,0,0,8,1
12430,42,1,216.4,216.3999938964844,0.4089293246341955,0,0,42,0
12431,35,25,10527.97,421.1187890625,0.7695611471225532,0,0,35,1
12432,42,4,4269.32,1067.3299560546875,0.629103930300466,0,0,42,0
12433,0,10,20581.26,2058.1259765625,0.5956032290880064,0,0,1,0
12434,84,3,1103.43,367.8100179036458,0.6780236957560458,0,0,84,1
12435,79,6,13925.93,2320.98828125,0.7875985650111681,0,0,79,1
12436,99,1,429.01,429.010009765625,0.2098368609972679,0,1,99,0
12437,1,38,11282.4,296.9052734375,0.7424076989549105,0,0,1,1
12438,13,2,2466.85,1233.425048828125,0.6885328185084573,0,0,13,1
12439,682,2,1158.1799,579.0899658203125,0.6815185186675331,0,1,682,1
12440,461,2,739.2,369.6000061035156,0.2525653889555806,0,1,461,0
12441,366,1,311.1,311.1000061035156,0.347795122998539,0,1,366,0
12442,2,1,144.06,144.05999755859375,0.5206702963205636,0,0,2,0
12443,731,1,365.31,365.30999755859375,0.6154212798735543,0,1,731,0
12444,20,5,4085.46,817.0919921875,0.5816273836533993,0,0,20,0
12445,21,2,378.98,189.4900054931641,0.568848895432737,0,0,21,0
12446,57,1,1002.31,1002.3099975585938,0.657435001288061,0,0,57,0
12447,242,1,431.49,431.489990234375,0.3900535099884812,0,1,242,0
12448,43,1,365.45,365.4500122070313,0.665560472203692,0,0,43,1
12449,21,5,4274.89,854.97802734375,0.8134133939626507,0,0,21,1
12450,155,5,688.2,137.64000244140624,0.5229054203105152,0,1,155,0
12451,10,8,12629.88,1578.7349853515625,0.7281089891214857,0,0,10,1
12452,16,1,348.57,348.57000732421875,0.7726372174678611,0,0,16,1
12453,133,1,707.09,707.0900268554688,0.7057340387623788,0,1,133,1
12454,55,4,16459.78,4114.94482421875,0.6246812098244071,0,0,55,0
12455,72,9,5722.95,635.8833550347222,0.7392033779158053,0,0,72,1
12456,43,3,2581.04,860.3466796875,0.7472815244284216,0,0,43,1
12457,65,7,2555.91,365.1299874441965,0.7274100209356013,0,0,65,1
12458,70,4,1502.49,375.62249755859375,0.8037765270173813,0,0,70,1
12459,604,1,398.36002,398.3600158691406,0.7481382085174574,0,1,604,1
12460,455,1,296.65,296.6499938964844,0.5779835862095821,0,1,455,0
12461,154,1,626.88,626.8800048828125,0.6388916615694533,0,1,154,0
12462,18,2,937.59,468.7950134277344,0.652805737261553,0,0,18,0
12463,52,4,1200.78,300.19500732421875,0.8194791278446752,0,0,52,1
12464,9,8,957.05,119.6312484741211,0.1968977112421144,0,0,9,0
12465,16,2,682.19,341.0950012207031,0.7277834090318291,0,0,16,1
12467,422,1,132.8,132.8000030517578,0.3894009726747738,0,1,422,0
12468,187,5,3238.74,647.747998046875,0.6235616138122735,0,1,187,0
12469,522,2,3070.54,1535.27001953125,0.5815973269656743,0,1,522,0
12470,689,1,211.95,211.9499969482422,0.5344634135005678,0,1,689,0
12471,1,71,35145.5,495.0070422535212,0.7759364577159643,0,0,1,1
12472,31,19,16494.59,868.1363075657895,0.7712124876548475,0,0,31,1
12473,53,3,2566.23,855.4099934895834,0.8146966201113572,0,0,53,1
12474,16,29,11362.45,391.80862742456895,0.7811733975704475,0,0,16,1
12475,53,2,1065.64,532.8200073242188,0.6998889196410607,0,0,53,1
12476,15,18,12351.41,686.189453125,0.8631455435157394,0,0,15,1
12477,22,9,20276.37,2252.9299045138887,0.6928467614929795,0,0,22,1
12478,3,1,545.99,545.989990234375,0.7573624884129682,0,0,3,1
12479,10,1,473.2,473.2000122070313,0.567545511331589,0,0,10,0
12480,27,7,4834.85,690.69287109375,0.7284348532149361,0,0,27,1
12481,22,14,11191.39,799.3849748883929,0.7791253603537942,0,0,22,1
12482,575,27,21941.719,812.65625,0.6970593594695129,0,1,575,1
12483,16,19,4092.58,215.39895148026315,0.6776489243950302,0,0,16,1
12484,34,9,5573.15,619.2388780381945,0.7534541794662551,0,0,34,1
12485,528,1,708.1,708.0999755859375,0.6546394876879708,0,1,528,0
12486,431,1,917.28,917.280029296875,0.7459371436364215,0,1,431,1
12487,730,1,285.3,285.29998779296875,0.1996421419417617,0,1,730,0
12488,9,3,1244.66,414.8866780598958,0.6794610922567247,0,0,9,1
12489,335,1,298.93,298.92999267578125,0.5841929576377907,0,1,335,0
12490,4,20,8764.64,438.231982421875,0.788178018955462,0,0,4,1
12491,38,1,424.4,424.3999938964844,0.6722827552345464,0,0,38,1
12492,62,3,607.21,202.4033406575521,0.7078926506687323,0,0,62,1
12493,165,2,379.74,189.8699951171875,0.3642025124606601,0,1,165,0
12494,15,9,1602.87,178.09666612413196,0.6808132631536656,0,0,15,1
12495,640,1,277.4,277.3999938964844,0.5518447984520054,0,1,640,0
12496,619,2,54.09,27.045000076293945,0.4951870129824778,0,1,619,0
12497,81,3,5996.5,1998.8333333333333,0.556769749069326,0,0,81,0
12498,20,3,349.7,116.56667073567708,0.5458497583584705,0,0,20,0
12499,559,1,357.72,357.7200012207031,0.5548655505697623,0,1,559,0
12500,22,18,5559.21,308.8449978298611,0.56780862706562,0,0,22,0
12501,336,1,2025.39,2025.3900146484373,0.7128178764090803,0,1,336,1
12502,95,5,2995.8699,599.173974609375,0.6871011894705062,0,1,95,1
12503,583,1,896.0,896.0,0.0,0,1,583,0
12504,17,4,689.05,172.2624969482422,0.3155697198037642,0,0,17,0
12505,408,1,787.2,787.2000122070312,0.6812317688677606,0,1,408,1
12506,232,1,73.5,73.5,0.5011929417736865,0,1,232,0
12507,133,4,1508.06,377.0150146484375,0.4703758506508662,0,1,133,0
12508,25,2,398.27,199.13499450683597,0.7937888221438676,0,0,25,1
12509,283,1,158.5,158.5,0.2983436219957756,0,1,283,0
12510,142,7,3039.03,434.1471470424107,0.7606833921611843,0,1,142,1
12511,428,1,3084.02,3084.02001953125,0.7498127113839859,0,1,428,1
12512,65,2,138.03,69.01499938964844,0.6710649267966551,0,0,65,1
12513,112,1,558.29,558.2899780273438,0.7433513547393608,0,1,112,1
12514,266,2,1597.76,798.8800048828125,0.699170234201355,0,1,266,1
12515,352,1,278.7,278.70001220703125,0.3049815675986848,0,1,352,0
12516,77,4,2288.62,572.155029296875,0.5985291460451427,0,0,77,0
12517,27,4,2322.84,580.7100219726562,0.7752266897894415,0,0,27,1
12518,0,5,1840.89,368.1780029296875,0.7748233095719742,0,0,1,1
12519,63,2,636.54,318.2699890136719,0.6342606963336948,0,0,63,0
12520,78,5,2346.26,469.252001953125,0.7123285322582088,0,0,78,1
12521,142,1,545.68,545.6799926757812,0.7020226967668524,0,1,142,1
12522,38,2,156.72,78.36000061035156,0.5711720024416652,0,0,38,0
12523,18,23,4030.15,175.22390879755434,0.732514944381128,0,0,18,1
12524,8,17,9794.109,576.1240808823529,0.487928117391236,0,0,8,0
12525,497,3,883.73,294.57666015625,0.7447499692519065,0,1,497,1
12526,0,3,1172.66,390.8866780598958,0.7279908837003946,0,0,1,1
12527,81,5,717.51,143.502001953125,0.5689616456597227,0,0,81,0
12528,8,6,1645.48,274.2466634114583,0.3388917963707592,0,0,8,0
12529,527,1,316.48,316.4800109863281,0.7827877418103987,0,1,527,1
12530,59,9,3381.26,375.695556640625,0.6655086824571538,0,0,59,1
12531,14,2,1771.2,885.5999755859375,0.746433302757466,0,0,14,1
12532,29,1,313.83,313.8299865722656,0.6860135214583443,0,0,29,1
12533,627,2,1223.89,611.9450073242188,0.6870063197035506,0,1,627,1
12534,130,1,981.18,981.1799926757812,0.6956452016404386,0,1,130,1
12535,91,2,716.35,358.17498779296875,0.6599955172686213,0,1,91,1
12536,58,1,4264.71,4264.7099609375,0.8313902955914583,0,0,58,1
12537,408,1,612.94,612.9400024414062,0.6839873784157076,0,1,408,1
12538,28,2,640.45,320.2250061035156,0.6990863191380636,0,0,28,1
12539,21,7,11186.75,1598.107142857143,0.7816778101894024,0,0,21,1
12540,19,32,19250.49,601.5778198242188,0.7689883495462329,0,0,19,1
12541,29,3,841.18,280.39333089192706,0.8174601689851173,0,0,29,1
12542,483,2,481.88,240.94000244140625,0.5183083687363441,0,1,483,0
12543,447,1,840.25,840.25,0.7238049549659231,0,1,447,1
12544,35,1,316.7,316.70001220703125,0.5935732361883174,0,0,35,0
12545,74,2,832.39,416.1950073242188,0.6803984133571469,0,0,74,1
12546,46,2,1021.5,510.75,0.7827254300220812,0,0,46,1
12547,197,3,299.58002,99.86000569661458,0.5253748507267599,0,1,197,0
